17:50:37.154342 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 36
17:50:37.855017 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:37.968719 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:37.974838 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:37.975008 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:37.975014 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:38.090669 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:38.094625 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:38.094797 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:38.094801 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:38.207165 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:38.210838 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:38.211046 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:38.211051 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:38.242692 IP by2msg3020412.phx.gbl.msnp > 10.0.2.120.solid-mux: . 2581561932:2581561933(1) ack 4151159274 win 65235
17:50:38.242839 IP 10.0.2.120.solid-mux > by2msg3020412.phx.gbl.msnp: . ack 1 win 16085
17:50:38.320396 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:38.324541 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:38.324662 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:38.324664 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:38.388333 IP 10.0.2.120.solid-mux > by2msg3020412.phx.gbl.msnp: P 1:7(6) ack 1 win 16085
17:50:38.400290 IP by2msg3020412.phx.gbl.msnp > 10.0.2.120.solid-mux: P 1:9(8) ack 7 win 65229
17:50:38.400382 IP 10.0.2.120.solid-mux > by2msg3020412.phx.gbl.msnp: . ack 9 win 16077
17:50:38.436813 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:38.440547 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:39.307531 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 224
17:50:39.307537 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 122
17:50:39.450724 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 156
17:50:39.451002 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 32
17:50:39.562709 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 32
17:50:39.562943 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:39.574931 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 154
17:50:40.430440 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 154
17:50:40.667294 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:40.667331 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 298
17:50:40.667510 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:40.690821 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 48
17:50:40.892515 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:40.940800 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:40.941948 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:40.998753 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:41.164774 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 46
17:50:41.165015 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:41.593461 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 30
17:50:41.704723 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:41.896526 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:41.944741 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:41.944985 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:42.007058 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:42.188763 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 30
17:50:42.189005 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:42.901575 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:42.948759 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:42.949034 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:43.014661 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:43.611779 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 30
17:50:43.722794 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:43.727900 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 46
17:50:43.841627 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:43.844587 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 64
17:50:43.844713 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:43.846070 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 46
17:50:43.904544 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:43.948715 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:43.948902 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:43.952630 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:44.014728 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:44.510728 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 46
17:50:44.510901 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:44.763786 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 46
17:50:44.797472 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 46
17:50:44.888846 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:44.893033 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 46
17:50:44.893233 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:44.905462 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:44.910803 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:44.952871 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:44.953106 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:45.022815 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:45.462343 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 36
17:50:45.500763 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:45.501017 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:50:45.512263 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 402
17:50:45.512269 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 344
17:50:45.562898 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 32
17:50:45.758819 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 206
17:50:45.758915 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 32
17:50:45.759094 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:50:45.759099 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:50:45.812589 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:50:45.860790 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 32
17:50:45.909563 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 36
17:50:46.020804 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:46.814931 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 30
17:50:46.892710 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 30
17:50:46.892875 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:46.923365 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:48.644975 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:48.753325 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:48.811327 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:48.811558 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:48.828912 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:48.829129 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:48.833802 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:48.944797 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:49.006973 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 32
17:50:49.301219 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:49.412847 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:49.464163 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:49.464430 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:49.831983 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:49.834906 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:50.001335 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:50.001552 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:50.364894 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:50.365198 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:50.552626 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:51.450654 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:51.553233 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:51.558874 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:51.558908 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:51.559151 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:51.612881 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:51.613171 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:51.668858 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:51.682709 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:51.682884 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:52.554250 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:52.750468 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:52.750502 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:52.750699 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:52.954794 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:53.069028 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:53.069233 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:53.070811 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:53.555720 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:53.668765 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:53.684923 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:53.685224 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:53.705825 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:53.814940 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:54.423887 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:54.536969 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:54.568884 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:54.569135 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:55.441102 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:55.552907 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:55.594919 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:55.595126 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:56.237048 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 274
17:50:56.237259 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:56.254947 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 61
17:50:56.255188 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:56.275491 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 61
17:50:56.401234 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:50:58.270967 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 30
17:50:58.271242 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:50:58.293459 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 30
17:50:58.400814 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:51:00.293019 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 30
17:51:00.293186 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:51:00.312575 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 30
17:51:00.422962 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:51:02.307028 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 30
17:51:02.307306 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:51:02.331004 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 30
17:51:02.438982 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:51:04.340951 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 30
17:51:04.341148 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:51:04.349807 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 30
17:51:04.463075 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:51:06.368285 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 30
17:51:06.403054 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 30
17:51:06.403327 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:51:06.475024 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:51:07.307156 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 80
17:51:07.951802 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 36
17:51:07.991120 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 36
17:51:07.991356 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:51:08.018377 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 182
17:51:08.065165 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 253
17:51:08.065434 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:51:08.118822 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:51:08.153343 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 38
17:51:08.157109 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 32
17:51:08.264368 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:51:08.397022 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 30
17:51:08.397159 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:51:08.650883 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 38
17:51:08.651014 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:51:08.769203 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 36
17:51:08.809060 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 36
17:51:08.809226 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:51:08.819111 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 216
17:51:08.865377 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 206
17:51:08.865462 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 32
17:51:08.865592 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:51:08.865597 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:51:08.902583 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:51:08.947880 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 32
17:51:09.619435 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 33
17:51:09.619440 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 24
17:51:09.726987 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 28
17:51:09.899131 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 33
17:51:09.899409 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 28
17:51:09.903060 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 32
17:51:09.905135 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 24
17:51:09.921051 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 32
17:51:09.926461 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 48
17:51:09.935043 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 40
17:51:09.942981 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 48
17:51:09.950912 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 40
17:51:09.959388 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 56
